Comunidades y Ciudades Autónomas;Tipo de equipamiento;periodo;Total
Andalucía;Viviendas con algún tipo de ordenador;2021;78,6
Andalucía;Viviendas con algún tipo de ordenador;2020;76,8
Andalucía;Viviendas con algún tipo de ordenador;2019;76,8
Andalucía;Viviendas con algún tipo de ordenador;2018;74,4
Andalucía;Viviendas con algún tipo de ordenador;2017;74,3
Andalucía;Viviendas con algún tipo de ordenador;2016;73,2
Andalucía;Viviendas con algún tipo de ordenador;2015;71,4
Andalucía;Viviendas con algún tipo de ordenador;2014;71,6
Andalucía;Viviendas con algún tipo de ordenador;2013;71,1
Andalucía;Viviendas con algún tipo de ordenador;2012;71,2
Andalucía;Viviendas con algún tipo de ordenador;2011;68,1
Andalucía;Viviendas con algún tipo de ordenador;2010;65,0
Andalucía;Viviendas con algún tipo de ordenador;2009;61,0
Andalucía;Viviendas con algún tipo de ordenador;2008;57,6
Andalucía;Viviendas con algún tipo de ordenador;2007;55,0
Andalucía;Viviendas con algún tipo de ordenador;2006;50,6
Andalucía;Viviendas que disponen de acceso a Internet;2021;94,5
Andalucía;Viviendas que disponen de acceso a Internet;2020;94,7
Andalucía;Viviendas que disponen de acceso a Internet;2019;89,7
Andalucía;Viviendas que disponen de acceso a Internet;2018;83,7
Andalucía;Viviendas que disponen de acceso a Internet;2017;81,7
Andalucía;Viviendas que disponen de acceso a Internet;2016;80,6
Andalucía;Viviendas que disponen de acceso a Internet;2015;76,4
Andalucía;Viviendas que disponen de acceso a Internet;2014;72,7
Andalucía;Viviendas que disponen de acceso a Internet;2013;66,3
Andalucía;Viviendas que disponen de acceso a Internet;2012;63,3
Andalucía;Viviendas que disponen de acceso a Internet;2011;58,2
Andalucía;Viviendas que disponen de acceso a Internet;2010;53,1
Andalucía;Viviendas que disponen de acceso a Internet;2009;47,3
Andalucía;Viviendas que disponen de acceso a Internet;2008;42,2
Andalucía;Viviendas que disponen de acceso a Internet;2007;37,5
Andalucía;Viviendas que disponen de acceso a Internet;2006;30,7
Andalucía;Viviendas con conexión de Banda Ancha;2021;94,5
Andalucía;Viviendas con conexión de Banda Ancha;2020;94,6
Andalucía;Viviendas con conexión de Banda Ancha;2019;89,2
Andalucía;Viviendas con conexión de Banda Ancha;2018;83,5
Andalucía;Viviendas con conexión de Banda Ancha;2017;81,0
Andalucía;Viviendas con conexión de Banda Ancha;2016;79,8
Andalucía;Viviendas con conexión de Banda Ancha;2015;75,2
Andalucía;Viviendas con conexión de Banda Ancha;2014;69,9
Andalucía;Viviendas con conexión de Banda Ancha;2013;65,8
Andalucía;Viviendas con conexión de Banda Ancha;2012;61,3
Andalucía;Viviendas con conexión de Banda Ancha;2011;55,0
Andalucía;Viviendas con conexión de Banda Ancha;2010;51,5
Andalucía;Viviendas con conexión de Banda Ancha;2009;45,3
Andalucía;Viviendas con conexión de Banda Ancha;2008;37,5
Andalucía;Viviendas con conexión de Banda Ancha;2007;33,8
Andalucía;Viviendas con conexión de Banda Ancha;2006;23,3
Andalucía;Viviendas con  teléfono fijo;2021;57,6
Andalucía;Viviendas con  teléfono fijo;2020;61,8
Andalucía;Viviendas con  teléfono fijo;2019;68,2
Andalucía;Viviendas con  teléfono fijo;2018;66,8
Andalucía;Viviendas con  teléfono fijo;2017;69,8
Andalucía;Viviendas con  teléfono fijo;2016;73,5
Andalucía;Viviendas con  teléfono fijo;2015;73,4
Andalucía;Viviendas con  teléfono fijo;2014;71,6
Andalucía;Viviendas con  teléfono fijo;2013;71,2
Andalucía;Viviendas con  teléfono fijo;2012;73,5
Andalucía;Viviendas con  teléfono fijo;2011;72,8
Andalucía;Viviendas con  teléfono fijo;2010;72,9
Andalucía;Viviendas con  teléfono fijo;2009;71,7
Andalucía;Viviendas con  teléfono fijo;2008;73,2
Andalucía;Viviendas con  teléfono fijo;2007;74,3
Andalucía;Viviendas con  teléfono fijo;2006;75,3
Andalucía;Viviendas con  teléfono móvil;2021;99,9
Andalucía;Viviendas con  teléfono móvil;2020;99,3
Andalucía;Viviendas con  teléfono móvil;2019;98,1
Andalucía;Viviendas con  teléfono móvil;2018;97,9
Andalucía;Viviendas con  teléfono móvil;2017;96,9
Andalucía;Viviendas con  teléfono móvil;2016;95,0
Andalucía;Viviendas con  teléfono móvil;2015;95,2
Andalucía;Viviendas con  teléfono móvil;2014;95,3
Andalucía;Viviendas con  teléfono móvil;2013;95,4
Andalucía;Viviendas con  teléfono móvil;2012;94,7
Andalucía;Viviendas con  teléfono móvil;2011;93,3
Andalucía;Viviendas con  teléfono móvil;2010;93,0
Andalucía;Viviendas con  teléfono móvil;2009;91,6
Andalucía;Viviendas con  teléfono móvil;2008;89,1
Andalucía;Viviendas con  teléfono móvil;2007;88,0
Andalucía;Viviendas con  teléfono móvil;2006;84,7
Aragón;Viviendas con algún tipo de ordenador;2021;85,2
Aragón;Viviendas con algún tipo de ordenador;2020;85,0
Aragón;Viviendas con algún tipo de ordenador;2019;84,9
Aragón;Viviendas con algún tipo de ordenador;2018;83,2
Aragón;Viviendas con algún tipo de ordenador;2017;80,1
Aragón;Viviendas con algún tipo de ordenador;2016;76,8
Aragón;Viviendas con algún tipo de ordenador;2015;75,4
Aragón;Viviendas con algún tipo de ordenador;2014;74,4
Aragón;Viviendas con algún tipo de ordenador;2013;71,9
Aragón;Viviendas con algún tipo de ordenador;2012;71,9
Aragón;Viviendas con algún tipo de ordenador;2011;69,7
Aragón;Viviendas con algún tipo de ordenador;2010;68,3
Aragón;Viviendas con algún tipo de ordenador;2009;66,9
Aragón;Viviendas con algún tipo de ordenador;2008;63,2
Aragón;Viviendas con algún tipo de ordenador;2007;58,7
Aragón;Viviendas con algún tipo de ordenador;2006;55,7
Aragón;Viviendas que disponen de acceso a Internet;2021;96,3
Aragón;Viviendas que disponen de acceso a Internet;2020;96,3
Aragón;Viviendas que disponen de acceso a Internet;2019;92,1
Aragón;Viviendas que disponen de acceso a Internet;2018;88,7
Aragón;Viviendas que disponen de acceso a Internet;2017;84,9
Aragón;Viviendas que disponen de acceso a Internet;2016;81,6
Aragón;Viviendas que disponen de acceso a Internet;2015;77,2
Aragón;Viviendas que disponen de acceso a Internet;2014;70,5
